"","Ga","Method"
"201",2.63615607281512,"SP(1.0)"
"202",1.62590582072154,"SP(1.0)"
"203",2.04914089927457,"SP(1.0)"
"204",2.37791885885664,"SP(1.0)"
"205",2.27724245733631,"SP(1.0)"
"206",2.47099584762944,"SP(1.0)"
"207",3.78953812539265,"SP(1.0)"
"208",1.93633250707369,"SP(1.0)"
"209",1.97316471098948,"SP(1.0)"
"210",2.32064036429624,"SP(1.0)"
"211",2.89570458853922,"SP(1.0)"
"212",1.44182315320815,"SP(1.0)"
"213",2.04886040766916,"SP(1.0)"
"214",1.67445675228015,"SP(1.0)"
"215",2.23243123695382,"SP(1.0)"
"216",1.29286556734392,"SP(1.0)"
"217",2.104246957198,"SP(1.0)"
"218",1.70623010845028,"SP(1.0)"
"219",2.80291469540485,"SP(1.0)"
"220",2.56059342286806,"SP(1.0)"
"221",2.36368869135712,"SP(1.0)"
"222",2.97766084791016,"SP(1.0)"
"223",1.9328759375703,"SP(1.0)"
"224",2.14825444004367,"SP(1.0)"
"225",2.21895203660688,"SP(1.0)"
"226",1.71156234740222,"SP(1.0)"
"227",2.24018741559179,"SP(1.0)"
"228",2.66640904808338,"SP(1.0)"
"229",2.0928715787201,"SP(1.0)"
"230",2.32203155316726,"SP(1.0)"
"231",2.14739849565606,"SP(1.0)"
"232",1.76412830866858,"SP(1.0)"
"233",2.24036986970863,"SP(1.0)"
"234",1.64112109350623,"SP(1.0)"
"235",1.79285972622207,"SP(1.0)"
"236",1.5997788988927,"SP(1.0)"
"237",1.67618705948276,"SP(1.0)"
"238",2.99254347139301,"SP(1.0)"
"239",1.81179271385023,"SP(1.0)"
"240",2.06449304886611,"SP(1.0)"
"241",2.09883306514516,"SP(1.0)"
"242",3.02987631387077,"SP(1.0)"
"243",1.83866308398695,"SP(1.0)"
"244",3.18422029939714,"SP(1.0)"
"245",1.67655401438811,"SP(1.0)"
"246",2.69442296374152,"SP(1.0)"
"247",2.12673680241011,"SP(1.0)"
"248",2.02012422654948,"SP(1.0)"
"249",1.80295690216134,"SP(1.0)"
"250",1.87137700222334,"SP(1.0)"
"251",2.25577285654275,"SP(1.0)"
"252",2.91017725515959,"SP(1.0)"
"253",2.108534625685,"SP(1.0)"
"254",2.06977835222142,"SP(1.0)"
"255",2.1614602501865,"SP(1.0)"
"256",2.45552346399681,"SP(1.0)"
"257",2.16053466823532,"SP(1.0)"
"258",2.26341318907147,"SP(1.0)"
"259",2.18135554589587,"SP(1.0)"
"260",2.47720459427464,"SP(1.0)"
"261",2.04282977766784,"SP(1.0)"
"262",1.7006020573311,"SP(1.0)"
"263",2.96863275665021,"SP(1.0)"
"264",2.20708633545335,"SP(1.0)"
"265",1.92940165568803,"SP(1.0)"
"266",2.20073595442916,"SP(1.0)"
"267",1.94495406740951,"SP(1.0)"
"268",2.79938338057663,"SP(1.0)"
"269",2.4037254220567,"SP(1.0)"
"270",2.608601433318,"SP(1.0)"
"271",2.25348712356522,"SP(1.0)"
"272",1.81655321861326,"SP(1.0)"
"273",1.6539301146199,"SP(1.0)"
"274",4.36649276273564,"SP(1.0)"
"275",2.38889572115595,"SP(1.0)"
"276",2.5419298291581,"SP(1.0)"
"277",2.47658544606896,"SP(1.0)"
"278",2.06801539743686,"SP(1.0)"
"279",2.61958391804165,"SP(1.0)"
"280",3.19975442162072,"SP(1.0)"
"281",1.78145636751226,"SP(1.0)"
"282",1.61204901496463,"SP(1.0)"
"283",2.21816459102583,"SP(1.0)"
"284",2.02468483531361,"SP(1.0)"
"285",1.99334472565114,"SP(1.0)"
"286",1.95838698188217,"SP(1.0)"
"287",3.16369292285766,"SP(1.0)"
"288",2.05841847879284,"SP(1.0)"
"289",1.64180172079508,"SP(1.0)"
"290",2.2337431431432,"SP(1.0)"
"291",2.88779747017272,"SP(1.0)"
"292",1.91206191332304,"SP(1.0)"
"293",2.31912568887821,"SP(1.0)"
"294",1.96356833138668,"SP(1.0)"
"295",1.91255189611541,"SP(1.0)"
"296",1.83906642861533,"SP(1.0)"
"297",1.97743543133199,"SP(1.0)"
"298",1.49110075608136,"SP(1.0)"
"299",2.42052299459654,"SP(1.0)"
"300",3.04479753297285,"SP(1.0)"
"301",2.49628274389865,"Rand(1.0)"
"302",1.66209194795177,"Rand(1.0)"
"303",2.16172135053422,"Rand(1.0)"
"304",2.49192098383734,"Rand(1.0)"
"305",2.33872972205315,"Rand(1.0)"
"306",2.35282954931642,"Rand(1.0)"
"307",3.59090962898191,"Rand(1.0)"
"308",1.92648386888922,"Rand(1.0)"
"309",1.98587261306766,"Rand(1.0)"
"310",2.34008394021363,"Rand(1.0)"
"311",3.07898953742721,"Rand(1.0)"
"312",1.51054340683991,"Rand(1.0)"
"313",2.12006915300188,"Rand(1.0)"
"314",1.70183369028183,"Rand(1.0)"
"315",2.15179281643295,"Rand(1.0)"
"316",1.32535406587147,"Rand(1.0)"
"317",2.18924951424453,"Rand(1.0)"
"318",1.68227554099394,"Rand(1.0)"
"319",2.93468586855008,"Rand(1.0)"
"320",2.70266055130084,"Rand(1.0)"
"321",2.371625087915,"Rand(1.0)"
"322",2.95898823583946,"Rand(1.0)"
"323",1.92512832165717,"Rand(1.0)"
"324",2.06053383191466,"Rand(1.0)"
"325",2.22962013022189,"Rand(1.0)"
"326",1.76281677046604,"Rand(1.0)"
"327",2.23856371436487,"Rand(1.0)"
"328",2.63064016503772,"Rand(1.0)"
"329",2.10691171840416,"Rand(1.0)"
"330",2.43042795432484,"Rand(1.0)"
"331",2.13411217363934,"Rand(1.0)"
"332",1.78014284379617,"Rand(1.0)"
"333",2.38341647239091,"Rand(1.0)"
"334",1.66430168876205,"Rand(1.0)"
"335",1.85279003132852,"Rand(1.0)"
"336",1.62502766581751,"Rand(1.0)"
"337",1.7171503678377,"Rand(1.0)"
"338",3.30689538394157,"Rand(1.0)"
"339",1.79717237125208,"Rand(1.0)"
"340",2.1699486499151,"Rand(1.0)"
"341",2.18100626603026,"Rand(1.0)"
"342",3.20504563967806,"Rand(1.0)"
"343",1.90080351888363,"Rand(1.0)"
"344",3.13575911500254,"Rand(1.0)"
"345",1.68467977648658,"Rand(1.0)"
"346",2.87477513442068,"Rand(1.0)"
"347",2.18847403291098,"Rand(1.0)"
"348",2.10898877884944,"Rand(1.0)"
"349",1.77789794439038,"Rand(1.0)"
"350",1.93394160537671,"Rand(1.0)"
"351",2.15824646915113,"Rand(1.0)"
"352",2.83639336366903,"Rand(1.0)"
"353",2.13621107761445,"Rand(1.0)"
"354",2.16429769978449,"Rand(1.0)"
"355",2.18414383580888,"Rand(1.0)"
"356",2.43181255565339,"Rand(1.0)"
"357",2.09691767212964,"Rand(1.0)"
"358",2.25791070960654,"Rand(1.0)"
"359",2.18886831803089,"Rand(1.0)"
"360",2.42818705055143,"Rand(1.0)"
"361",1.98204081942266,"Rand(1.0)"
"362",1.67218757118647,"Rand(1.0)"
"363",3.04072890592269,"Rand(1.0)"
"364",2.2466884533476,"Rand(1.0)"
"365",2.01031910408706,"Rand(1.0)"
"366",2.27132756817948,"Rand(1.0)"
"367",1.94039466856135,"Rand(1.0)"
"368",2.80884183566854,"Rand(1.0)"
"369",2.45616189970352,"Rand(1.0)"
"370",2.69955793530342,"Rand(1.0)"
"371",2.19718037275115,"Rand(1.0)"
"372",1.91186264426821,"Rand(1.0)"
"373",1.62092422961564,"Rand(1.0)"
"374",4.14830007077119,"Rand(1.0)"
"375",2.58495061939407,"Rand(1.0)"
"376",2.35190275048587,"Rand(1.0)"
"377",2.36538606959944,"Rand(1.0)"
"378",2.05832351558725,"Rand(1.0)"
"379",2.7434467085084,"Rand(1.0)"
"380",3.22067805549547,"Rand(1.0)"
"381",1.82299995455213,"Rand(1.0)"
"382",1.60483185222016,"Rand(1.0)"
"383",2.39085918891173,"Rand(1.0)"
"384",2.0096212665815,"Rand(1.0)"
"385",1.96882007439539,"Rand(1.0)"
"386",2.03306459604543,"Rand(1.0)"
"387",3.19215054216055,"Rand(1.0)"
"388",2.14719143643994,"Rand(1.0)"
"389",1.71127634723818,"Rand(1.0)"
"390",2.2559909160328,"Rand(1.0)"
"391",3.06515420307091,"Rand(1.0)"
"392",1.93371647881538,"Rand(1.0)"
"393",2.35488790937561,"Rand(1.0)"
"394",1.96826984963825,"Rand(1.0)"
"395",1.9955607489197,"Rand(1.0)"
"396",1.86666883230232,"Rand(1.0)"
"397",1.97002710475384,"Rand(1.0)"
"398",1.57404214168358,"Rand(1.0)"
"399",2.69934197084217,"Rand(1.0)"
"400",3.07978520737941,"Rand(1.0)"
"401",2.94422121809668,"SP(1.5)"
"402",1.60088783598455,"SP(1.5)"
"403",2.79576827945694,"SP(1.5)"
"404",3.29768733742664,"SP(1.5)"
"405",2.86818445832424,"SP(1.5)"
"406",2.89055824472487,"SP(1.5)"
"407",4.34732629675417,"SP(1.5)"
"408",2.65238894087867,"SP(1.5)"
"409",2.14368052935892,"SP(1.5)"
"410",2.36260637920632,"SP(1.5)"
"411",4.02525602360648,"SP(1.5)"
"412",1.85203276558303,"SP(1.5)"
"413",2.05930730597394,"SP(1.5)"
"414",1.87270777558002,"SP(1.5)"
"415",2.90587418497384,"SP(1.5)"
"416",1.51940426783809,"SP(1.5)"
"417",2.87778110381325,"SP(1.5)"
"418",1.67702864124853,"SP(1.5)"
"419",4.54886094679791,"SP(1.5)"
"420",3.18698275769763,"SP(1.5)"
"421",3.45918891602037,"SP(1.5)"
"422",4.14717363846463,"SP(1.5)"
"423",2.18129276175971,"SP(1.5)"
"424",2.42487118457589,"SP(1.5)"
"425",2.4764407513577,"SP(1.5)"
"426",2.03619920805067,"SP(1.5)"
"427",2.58772879139871,"SP(1.5)"
"428",3.0270374970047,"SP(1.5)"
"429",2.6454844374011,"SP(1.5)"
"430",2.67548627690755,"SP(1.5)"
"431",2.69280858874762,"SP(1.5)"
"432",2.03386449521046,"SP(1.5)"
"433",3.20382683481401,"SP(1.5)"
"434",1.79589933266287,"SP(1.5)"
"435",1.83237311969967,"SP(1.5)"
"436",1.91607266849467,"SP(1.5)"
"437",2.15242888391497,"SP(1.5)"
"438",3.61853641723063,"SP(1.5)"
