"","MSPE","MSPE1","n","Method"
"119",-4.25095667308284,-4.24991052017133,4500,"Rand(3.0)"
"120",-4.30045786648282,-4.29364930571956,5000,"Rand(3.0)"
"121",-4.34244978509522,-4.33321585006491,5500,"Rand(3.0)"
"122",-4.36445547404371,-4.36933727500901,6000,"Rand(3.0)"
"123",-4.42128989838747,-4.40256576486381,6500,"Rand(3.0)"
"124",-4.42960973237224,-4.43333054122437,7000,"Rand(3.0)"
"125",-4.46264532354449,-4.46197186279995,7500,"Rand(3.0)"
"126",-4.48963548758494,-4.48876402984669,8000,"Rand(3.0)"
"127",-4.52497551607674,-4.51393140223488,8500,"Rand(3.0)"
"128",-4.50794822555544,-4.5376598320894,9000,"Rand(3.0)"
"129",-4.55869329328196,-4.56010500124564,9500,"Rand(3.0)"
"130",-4.58832966402037,-4.58139861763763,10000,"Rand(3.0)"
