"","Ga","Method"
"289",2.24427996973731,"SP(1.0)"
"290",1.8388015066796,"SP(1.0)"
"291",2.29789816014572,"SP(1.0)"
"292",2.48772369894268,"SP(1.0)"
"293",2.13689013048199,"SP(1.0)"
"294",2.16247466407463,"SP(1.0)"
"295",2.11255862926544,"SP(1.0)"
"296",2.05004655057511,"SP(1.0)"
"297",2.23272529448625,"SP(1.0)"
"298",2.50116598658118,"SP(1.0)"
"299",2.25825219980269,"SP(1.0)"
"300",1.98761252292356,"SP(1.0)"
"301",2.30060875889722,"Rand(1.0)"
"302",2.77685406212171,"Rand(1.0)"
"303",2.41838923438629,"Rand(1.0)"
"304",2.72103246280456,"Rand(1.0)"
"305",2.41901594235593,"Rand(1.0)"
"306",2.57005668321701,"Rand(1.0)"
"307",2.51738162726354,"Rand(1.0)"
"308",2.44214732269555,"Rand(1.0)"
"309",2.35040217664165,"Rand(1.0)"
"310",2.13389297027419,"Rand(1.0)"
"311",2.63482248737573,"Rand(1.0)"
"312",2.87029889524363,"Rand(1.0)"
"313",2.59534269722469,"Rand(1.0)"
"314",3.65685613279461,"Rand(1.0)"
"315",2.65244788112305,"Rand(1.0)"
"316",2.39621370558211,"Rand(1.0)"
"317",3.22082086703129,"Rand(1.0)"
"318",2.75949448733158,"Rand(1.0)"
"319",2.42227574805261,"Rand(1.0)"
"320",2.28260752468483,"Rand(1.0)"
"321",2.0228755205076,"Rand(1.0)"
"322",2.31211706376363,"Rand(1.0)"
"323",2.31252476345346,"Rand(1.0)"
"324",2.5034417116244,"Rand(1.0)"
"325",2.19048496592788,"Rand(1.0)"
"326",2.69523071816725,"Rand(1.0)"
"327",1.967333872843,"Rand(1.0)"
"328",2.36336542553996,"Rand(1.0)"
"329",2.83122636418077,"Rand(1.0)"
"330",2.96778158001593,"Rand(1.0)"
"331",2.96695735247981,"Rand(1.0)"
"332",2.33600671806699,"Rand(1.0)"
"333",2.70546421594035,"Rand(1.0)"
"334",2.79869179843646,"Rand(1.0)"
"335",2.67950870060866,"Rand(1.0)"
"336",3.21929741719835,"Rand(1.0)"
"337",2.35336596948915,"Rand(1.0)"
"338",2.49040731670498,"Rand(1.0)"
"339",2.85404372567397,"Rand(1.0)"
"340",2.64516200194087,"Rand(1.0)"
"341",2.30945946644427,"Rand(1.0)"
"342",2.34443435780308,"Rand(1.0)"
"343",2.26430989591404,"Rand(1.0)"
"344",2.15046598991721,"Rand(1.0)"
"345",2.64735105867815,"Rand(1.0)"
"346",2.13363870711702,"Rand(1.0)"
"347",2.77029580349549,"Rand(1.0)"
"348",2.47517456887358,"Rand(1.0)"
"349",3.20695641927917,"Rand(1.0)"
"350",2.68382675041462,"Rand(1.0)"
"351",2.53532033090454,"Rand(1.0)"
"352",2.49904953317758,"Rand(1.0)"
"353",2.53175307012164,"Rand(1.0)"
"354",2.53513447768789,"Rand(1.0)"
"355",2.5626714586369,"Rand(1.0)"
"356",2.55597034392711,"Rand(1.0)"
"357",2.31771637747076,"Rand(1.0)"
"358",2.66380162634159,"Rand(1.0)"
"359",2.60793665406274,"Rand(1.0)"
"360",2.19691473070269,"Rand(1.0)"
"361",2.34756926426057,"Rand(1.0)"
"362",2.52654346954492,"Rand(1.0)"
"363",2.18944420417791,"Rand(1.0)"
"364",2.71706252924861,"Rand(1.0)"
"365",2.57739480618328,"Rand(1.0)"
"366",2.53626175913661,"Rand(1.0)"
"367",2.51052731838177,"Rand(1.0)"
"368",2.15140191780297,"Rand(1.0)"
"369",2.58527743497882,"Rand(1.0)"
"370",2.2295370578138,"Rand(1.0)"
"371",2.92576594481745,"Rand(1.0)"
"372",2.57044011249178,"Rand(1.0)"
"373",2.25223505225883,"Rand(1.0)"
"374",2.28885932222359,"Rand(1.0)"
"375",2.1291476759567,"Rand(1.0)"
"376",2.50652151645617,"Rand(1.0)"
"377",2.59602738009858,"Rand(1.0)"
"378",2.69284601036235,"Rand(1.0)"
"379",2.09972636083486,"Rand(1.0)"
"380",1.98090231063776,"Rand(1.0)"
"381",2.35181387545298,"Rand(1.0)"
"382",2.35787625659088,"Rand(1.0)"
"383",2.20196422442713,"Rand(1.0)"
"384",1.84891981588845,"Rand(1.0)"
"385",2.13217279484998,"Rand(1.0)"
"386",2.43315577233519,"Rand(1.0)"
"387",2.24742003882241,"Rand(1.0)"
"388",2.90246823878436,"Rand(1.0)"
"389",2.22108470527808,"Rand(1.0)"
"390",2.04209170530451,"Rand(1.0)"
"391",2.46729103198763,"Rand(1.0)"
"392",2.65877793634428,"Rand(1.0)"
"393",2.29660435320954,"Rand(1.0)"
"394",2.18440245449106,"Rand(1.0)"
"395",2.26955407088916,"Rand(1.0)"
"396",2.14306040598815,"Rand(1.0)"
"397",2.35356660638357,"Rand(1.0)"
"398",2.7608055178592,"Rand(1.0)"
"399",2.29105714668217,"Rand(1.0)"
"400",2.09041498705417,"Rand(1.0)"
"401",2.52209249682349,"SP(1.5)"
"402",3.76098910961418,"SP(1.5)"
"403",3.13932330690357,"SP(1.5)"
"404",2.78916689031846,"SP(1.5)"
"405",2.61363650519028,"SP(1.5)"
"406",2.87716325111779,"SP(1.5)"
"407",2.73217482578145,"SP(1.5)"
"408",2.88948224865038,"SP(1.5)"
"409",2.54619791947562,"SP(1.5)"
"410",2.36016185698704,"SP(1.5)"
"411",2.95870093729245,"SP(1.5)"
"412",3.22470279574298,"SP(1.5)"
"413",3.05890602421033,"SP(1.5)"
"414",3.97709647636419,"SP(1.5)"
"415",2.85888638225562,"SP(1.5)"
"416",2.58183677394315,"SP(1.5)"
"417",3.30029738784423,"SP(1.5)"
"418",3.02221704240091,"SP(1.5)"
"419",2.71814901558325,"SP(1.5)"
"420",2.72315873288962,"SP(1.5)"
"421",2.03060167628544,"SP(1.5)"
"422",2.34746420002609,"SP(1.5)"
"423",2.34843784929704,"SP(1.5)"
"424",2.69944541124545,"SP(1.5)"
"425",2.27938193499465,"SP(1.5)"
"426",2.98333741247855,"SP(1.5)"
"427",2.42432627841022,"SP(1.5)"
"428",2.90782524511185,"SP(1.5)"
"429",3.18843816206767,"SP(1.5)"
"430",3.37142272584205,"SP(1.5)"
"431",4.07408526722061,"SP(1.5)"
"432",2.72141708503432,"SP(1.5)"
"433",3.07732667135982,"SP(1.5)"
"434",3.67970933398977,"SP(1.5)"
"435",3.41936259897404,"SP(1.5)"
"436",3.49489136844573,"SP(1.5)"
"437",2.59053246311322,"SP(1.5)"
"438",2.90463314407346,"SP(1.5)"
"439",3.00822826145601,"SP(1.5)"
"440",2.84332033098402,"SP(1.5)"
"441",2.6782705582961,"SP(1.5)"
"442",2.37006120032963,"SP(1.5)"
