"","Edist","RMSPE","Method","nu","k"
"124",0.00205106610474428,0.11930925016009,"DPP","2.0",144
"125",0.0013061127844121,0.114961072801028,"DPP","2.0",196
"126",0.000911972657062512,0.112635712261545,"DPP","2.0",289
"127",0.000642895614685257,0,"DPP","2.0",400
"128",0.000555210883314156,0,"DPP","2.0",484
"129",0.00111934557422163,0.214515852674663,"SP","3.0",36
"130",0.000474503566415464,0.171800489505173,"SP","3.0",64
"131",0.000246247253202212,0.163955485336169,"SP","3.0",100
"132",0.000147304295800037,0.162362669508404,"SP","3.0",144
"133",9.60864724558164e-05,0.162024846107117,"SP","3.0",196
"134",6.12283598829555e-05,0.161908296476018,"SP","3.0",289
"135",4.12848240249108e-05,0.161885916864339,"SP","3.0",400
"136",3.43998163643011e-05,0.161882263151812,"SP","3.0",484
"137",0.00570681184428195,0.22033922775707,"Grid","3.0",36
"138",0.0031767991821796,0.178781443024243,"Grid","3.0",64
"139",0.00204742656056196,0.167470676039774,"Grid","3.0",100
"140",0.00143899054468251,0.163944549529512,"Grid","3.0",144
"141",0.00108065460318724,0.162743712360357,"Grid","3.0",196
"142",0.000757555787637458,0.162138871908517,"Grid","3.0",289
"143",0.000572587935633858,0.161972737880761,"Grid","3.0",400
"144",0.000486558339290317,0.161925110549086,"Grid","3.0",484
"145",0.0141211751017953,0.232520183764089,"Rand","3.0",36
"146",0.0076123082324567,0.183591404752244,"Rand","3.0",64
"147",0.00459842679157185,0.168784533805488,"Rand","3.0",100
"148",0.00340109471312976,0.164246915876643,"Rand","3.0",144
"149",0.00228726597610615,0.162722350106682,"Rand","3.0",196
"150",0.00162191767794313,0.162125250916931,"Rand","3.0",289
"151",0.0011493614501246,0.161949726827676,"Rand","3.0",400
"152",0.000955148169434966,0.161914255698931,"Rand","3.0",484
"153",0.00835631529141416,0.223922301660647,"DPP","3.0",36
"154",0.00437248720278655,0.175001858047221,"DPP","3.0",64
"155",0.00280803128472842,0.165170545740369,"DPP","3.0",100
"156",0.00205106610474428,0.162776242906677,"DPP","3.0",144
"157",0.0013061127844121,0.162139993468774,"DPP","3.0",196
"158",0.000911972657062512,0,"DPP","3.0",289
"159",0.000642895614685257,0,"DPP","3.0",400
"160",0.000555210883314156,0,"DPP","3.0",484
